original_text,plagiarized_text,plagiarism_type
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning is a method of data analysis that automates analytical model building. (0),verbatim
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning refers to a method of data analysrefers to which automates analytical model building. (0),paraphrased
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning is a method of data analysis that and some added content  automates analytical model building. (0),mosaic
Machine learning is a method of data analysis that automates analytical model building. (0),)0( .gnidliub ledom lacitylana setamotua taht sisylana atad fo dohtem a si gninrael enihcaM,translated
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in temperatures and weather patterns. (0),verbatim
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in temperatures and weather patterns. (0),paraphrased
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in tempe and some added content ratures and weather patterns. (0),mosaic
Climate change refers to long-term shifts in temperatures and weather patterns. (0),)0( .snrettap rehtaew dna serutarepmet ni stfihs mret-gnol ot srefer egnahc etamilC,translated
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporation, condensation, and precipitation. (0)",verbatim
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporation, condensation, and precipitation. (0)",paraphrased
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporatio and some added content n, condensation, and precipitation. (0)",mosaic
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)",")0( .noitatipicerp dna ,noitasnednoc ,noitaropave ekil sessecorp sevlovni elcyc retaw ehT",translated
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),verbatim
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesrefers to refers to the process by which green plants use sunlight to synthesize foods. (0),paraphrased
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesis is the process by which green plant and some added content s use sunlight to synthesize foods. (0),mosaic
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),)0( .sdoof ezisehtnys ot thgilnus esu stnalp neerg hcihw yb ssecorp eht si sisehtnysotohP,translated
The human brain is an organ that serves as the center of the nervous system. (0),The human brain is an organ that serves as the center of the nervous system. (0),verbatim
The human brain is an organ that serves as the center of the nervous system. (0),The human brain refers to an organ which serves as the center of the nervous system. (0),paraphrased
The human brain is an organ that serves as the center of the nervous system. (0),The human brain is an organ that serves as the cen and some added content ter of the nervous system. (0),mosaic
The human brain is an organ that serves as the center of the nervous system. (0),)0( .metsys suovren eht fo retnec eht sa sevres taht nagro na si niarb namuh ehT,translated
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),verbatim
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity refers to a natural phenomenon by which all things with mass are brought toward one another. (0),paraphrased
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity is a natural phenomenon by which all thing and some added content s with mass are brought toward one another. (0),mosaic
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),)0( .rehtona eno drawot thguorb era ssam htiw sgniht lla hcihw yb nonemonehp larutan a si ytivarG,translated
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell is the basic structural, functional, and biological unit of all known living organisms. (0)",verbatim
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell refers to the basic structural, functional, and biological unit of all known living organrefers toms. (0)",paraphrased
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell is the basic structural, functional, and  and some added content biological unit of all known living organisms. (0)",mosaic
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)",")0( .smsinagro gnivil nwonk lla fo tinu lacigoloib dna ,lanoitcnuf ,larutcurts cisab eht si llec ehT",translated
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)",verbatim
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence refers to intelligence demonstrated by machines, unlike the natural intelligence drefers toplayed by humans. (0)",paraphrased
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence is intelligence demonstrat and some added content ed by machines, unlike the natural intelligence displayed by humans. (0)",mosaic
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)",")0( .snamuh yb deyalpsid ecnegilletni larutan eht ekilnu ,senihcam yb detartsnomed ecnegilletni si ecnegilletnI laicifitrA",translated
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),verbatim
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy refers to derived from natural sources which are replenrefers tohed at a higher rate than they are consumed. (0),paraphrased
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy is derived from natural sources t and some added content hat are replenished at a higher rate than they are consumed. (0),mosaic
